SYMBOL,NAME,PRICE(USD)
BTC,Bitcoin,50013.0301429569643342
ETH,Ethereum,2654.0540654917259511
USDT,Tether,1.0005801700916027
BNB,BNB,325.9744469299562924
SOL,Solana,113.8772959122017706
USDC,USDC,1.0005488500246389
XRP,XRP,0.5298278810533704
ADA,Cardano,0.5584383485479856
AVAX,Avalanche,41.0981515213542368
LINK,Chainlink,20.1410707231605615
DOGE,Dogecoin,0.0825570722557366
TRX,TRON,0.1257899899228192
DOT,Polkadot,7.3916441786040087
MATIC,Polygon,0.8774082287971376
WBTC,Wrapped Bitcoin,49980.7240848448878534
ICP,Internet Computer,13.2549003919882852
SHIB,Shiba Inu,0.0000096045916182
BCH,Bitcoin Cash,275.5764774472020741
LTC,Litecoin,72.7284994706207910
DAI,Multi Collateral DAI,0.9991974650779755
UNI,Uniswap,6.7702072628675765
ETC,Ethereum Classic,26.8984021917968102
LEO,UNUS SED LEO,4.0834719959578640
NEAR,NEAR Protocol,3.3434221226733146
XLM,Stellar,0.1128237686478268
STX,Stacks,1.9923086523809431
FIL,Filecoin,5.4983923179479668
LDO,Lido DAO,3.1166919219442329
INJ,Injective,36.6544486789521471
ATOM,Cosmos,10.0203994470495121
VET,VeChain,0.0318837087345102
CRO,Crypto.com Coin,0.0916652421087233
BTCB,Bitcoin BEP2,42794.8577734884264959
XMR,Monero,124.4112289117886015
MKR,Maker,2085.4603250076631893
RNDR,Render Token,5.0676021226616364
RUNE,THORChain,5.3414382535035131
GRT,The Graph,0.1743610042294152
BSV,Bitcoin SV,82.0182705403356493
EGLD,MultiversX,60.8053414652896636
MINA,Mina,1.3910665636164672
ALGO,Algorand,0.1807383915671664
HNT,Helium,8.8272670152770474
AAVE,Aave,90.3536959553481529
FLOW,Flow,0.8780207478858652
QNT,Quant,105.4468019970986517
TUSD,TrueUSD,0.9814595946564821
HBAR,Hedera Hashgraph,0.0816867538366250
FTM,Fantom,0.3999152951362190
THETA,THETA,1.0881527330976495
SAND,The Sandbox,0.4784308030890043
AXS,Axie Infinity,7.7335234519177969
XTZ,Tezos,1.0564679026103737
KCS,KuCoin Token,10.5828684553649472
MANA,Decentraland,0.4764803927300501
CHZ,Chiliz,0.1011474123634106
NEO,Neo,12.0853807029874620
CFX,Conflux,0.2271228544931239
SNX,Synthetix,3.6075191912624182
EOS,EOS,0.7530522100048753
ROSE,Oasis Network,0.1249179282957689
IOTA,IOTA,0.2602671095067488
KLAY,Klaytn,0.2330510160121658
WEMIX,WEMIX,2.2392875002200823
KAVA,Kava,0.7347787983807564
PENDLE,Pendle,3.1434038005888623
AKT,Akash Network,3.2718181400674440
WOO,WOO,0.4074812410343652
GNO,Gnosis,278.9045034640986471
FXS,Frax Share,9.1353736595519309
GALA,Gala,0.0248817591103394
XEC,eCash,0.0000334810906376
AR,Arweave,9.4558429516872352
CAKE,PancakeSwap,2.5875793934535125
FTT,FTX Token,1.8047633210334212
RPL,Rocket Pool,29.5568150534759013
CRV,Curve DAO Token,0.5170392960591118
FET,Fetch.ai,0.6827783323241366
NEXO,Nexo,0.9980049883172629
DYDX,dYdX,3.0206196950728529
SC,Siacoin,0.0098313228233710
XDC,XinFin Network,0.0444791381719140
SUPER,SuperVerse,1.0342741973426383
1INCH,1inch Network,0.4389842219915222
TWT,Trust Wallet Token,1.2017743987651433
COMP,Compound,57.3680362402824765
GT,GateToken,4.6987143839493913
BTG,Bitcoin Gold,25.4204230653851841
IOTX,IoTeX,0.0458905591063573
ENJ,Enjin Coin,0.3127910897902681
ELF,aelf,0.6029880306031011
FEI,Fei Protocol,0.9699341626435479
SKL,SKALE,0.0799238287643714
GAS,Gas,6.0494179206108403
CSPR,Casper,0.0340675708241474
AGIX,SingularityNET,0.3138939017094385
CELO,Celo,0.7354836379220450
ZIL,Zilliqa,0.0215876944013349
KSM,Kusama,43.7845778251377722
NXM,NXM,55.4429153886577572
